model,model_label,experiment,diagnostic,contrast,estimate,se,df,t,p,note,significant,supports_heuristic
qwen-2.5-72b,Qwen-2.5-72B,2,head_mismatch_penalty,mismatch - match (Head),3.342041015625,0.3536238177605349,31,9.450836871763387,1.213267572542245e-10,Baseline: surprisal(-Head) - surprisal(+Head). Positive = structural-head sensitivity.,True,True
llama-3.1-70b,Llama-3.1-70B,2,head_mismatch_penalty,mismatch - match (Head),3.87158203125,0.27712313427633495,31,13.970620104886045,6.379972419688549e-15,Baseline: surprisal(-Head) - surprisal(+Head). Positive = structural-head sensitivity.,True,True
babyllama,BabyLlama,2,proximity_trap,match - mismatch (Distractor | -Head),-1.5034891963005066,0.1039082013055452,31,-14.469398732824287,2.474325157072562e-15,Critical: surprisal(+Distractor) - surprisal(-Distractor) at -Head. Negative = linear trap.,True,True
qwen-2.5-7b,Qwen-2.5-7B,2,proximity_trap,match - mismatch (Distractor | -Head),-2.638671875,0.33859640709087013,31,-7.792970686460508,8.56980982807479e-09,Critical: surprisal(+Distractor) - surprisal(-Distractor) at -Head. Negative = linear trap.,True,True
llama-3.1-8b,Llama-3.1-8B,2,proximity_trap,match - mismatch (Distractor | -Head),-3.634033203125,0.34628095492237826,31,-10.494464542352896,9.995514870839404e-12,Critical: surprisal(+Distractor) - surprisal(-Distractor) at -Head. Negative = linear trap.,True,True
qwen-2.5-72b,Qwen-2.5-72B,2,proximity_trap,match - mismatch (Distractor | -Head),-2.759765625,0.377398134344409,31,-7.312610672530434,3.137511395147765e-08,Critical: surprisal(+Distractor) - surprisal(-Distractor) at -Head. Negative = linear trap.,True,True
llama-3.1-70b,Llama-3.1-70B,2,proximity_trap,match - mismatch (Distractor | -Head),-2.935546875,0.28777208120394704,31,-10.200943964816197,1.988459343142598e-11,Critical: surprisal(+Distractor) - surprisal(-Distractor) at -Head. Negative = linear trap.,True,True
babyllama,BabyLlama,3,logophoric_exemption,(mismatch-match | coarg) - (mismatch-match | picture-NP),0.008464723825454878,0.07743919993945195,31,0.10930799688107916,0.9136627273705945,Positive = larger local-mismatch penalty in co-argument than picture-NP (exemption).,False,False
qwen-2.5-7b,Qwen-2.5-7B,3,logophoric_exemption,(mismatch-match | coarg) - (mismatch-match | picture-NP),0.127197265625,0.35866605911784005,31,0.35463981715428844,0.7252607136666888,Positive = larger local-mismatch penalty in co-argument than picture-NP (exemption).,False,False
llama-3.1-8b,Llama-3.1-8B,3,logophoric_exemption,(mismatch-match | coarg) - (mismatch-match | picture-NP),1.251068115234375,0.3592577267001084,31,3.4823694029515146,0.0015023309626478803,Positive = larger local-mismatch penalty in co-argument than picture-NP (exemption).,True,True
qwen-2.5-72b,Qwen-2.5-72B,3,logophoric_exemption,(mismatch-match | coarg) - (mismatch-match | picture-NP),1.6591796875,0.5005590635800171,31,3.3146531712631173,0.002344832668882482,Positive = larger local-mismatch penalty in co-argument than picture-NP (exemption).,True,True
llama-3.1-70b,Llama-3.1-70B,3,logophoric_exemption,(mismatch-match | coarg) - (mismatch-match | picture-NP),1.53369140625,0.2787635714718652,31,5.501764086864524,5.094376414347269e-06,Positive = larger local-mismatch penalty in co-argument than picture-NP (exemption).,True,True
babyllama,BabyLlama,3,mismatch_penalty_coarg,mismatch - match (Local | coarg),1.9229737371206284,0.10712908093036508,31,17.95006286267479,6.210718789525819e-18,surprisal(-Local) - surprisal(+Local) in co-argument contexts.,True,
qwen-2.5-7b,Qwen-2.5-7B,3,mismatch_penalty_coarg,mismatch - match (Local | coarg),2.549560546875,0.2971622359851385,31,8.579692296441419,1.0872718322484107e-09,surprisal(-Local) - surprisal(+Local) in co-argument contexts.,True,
llama-3.1-8b,Llama-3.1-8B,3,mismatch_penalty_coarg,mismatch - match (Local | coarg),3.241546630859375,0.2958622697319472,31,10.956269056531722,3.4632981996888603e-12,surprisal(-Local) - surprisal(+Local) in co-argument contexts.,True,
qwen-2.5-72b,Qwen-2.5-72B,3,mismatch_penalty_coarg,mismatch - match (Local | coarg),3.6181640625,0.399779903709468,31,9.050390049444376,3.2838378312509745e-10,surprisal(-Local) - surprisal(+Local) in co-argument contexts.,True,
llama-3.1-70b,Llama-3.1-70B,3,mismatch_penalty_coarg,mismatch - match (Local | coarg),3.68115234375,0.2663678345170861,31,13.81980805011152,8.537556893548996e-15,surprisal(-Local) - surprisal(+Local) in co-argument contexts.,True,
babyllama,BabyLlama,3,mismatch_penalty_picture,mismatch - match (Local | picture-NP),1.9145090132951736,0.138094038042668,31,13.863806435319333,7.840066242023908e-15,surprisal(-Local) - surprisal(+Local) in picture-NP contexts.,True,
qwen-2.5-7b,Qwen-2.5-7B,3,mismatch_penalty_picture,mismatch - match (Local | picture-NP),2.42236328125,0.24037236478272703,31,10.077544826917096,2.664031989298479e-11,surprisal(-Local) - surprisal(+Local) in picture-NP contexts.,True,
llama-3.1-8b,Llama-3.1-8B,3,mismatch_penalty_picture,mismatch - match (Local | picture-NP),1.990478515625,0.1705843156019361,31,11.668590448079907,7.113216352009952e-13,surprisal(-Local) - surprisal(+Local) in picture-NP contexts.,True,
qwen-2.5-72b,Qwen-2.5-72B,3,mismatch_penalty_picture,mismatch - match (Local | picture-NP),1.958984375,0.2767456760655081,31,7.078644923566182,5.959483986334306e-08,surprisal(-Local) - surprisal(+Local) in picture-NP contexts.,True,
llama-3.1-70b,Llama-3.1-70B,3,mismatch_penalty_picture,mismatch - match (Local | picture-NP),2.1474609375,0.15766892507129288,31,13.620064553170426,1.2602504328815006e-14,surprisal(-Local) - surprisal(+Local) in picture-NP contexts.,True,
